number,type,name,city,latitude,longitude,result_city,result_type
5,rue,RIQUET,Paris,48.888134,2.376448,Paris,housenumber
141,boulevard,ITALIE,Paris,48.820646,2.359275,Paris,housenumber
234,rue,FAUBOURG ST-HONORÉ,Paris,48.87616,2.302766,Paris,housenumber
62,rue,MICHEL BIZOT,Paris,48.835423,2.40204,Paris,housenumber
6,rue,OURS,Paris,48.863311,2.351775,Paris,housenumber
30,rue,PETIT-MUSC,Paris,48.852945,2.364722,Paris,housenumber
3,impasse,MASSONET,Paris,48.895498,2.35158,Paris,housenumber
56,rue,PANOYAUX,Paris,48.867023,2.388347,Paris,housenumber
16,rue,THÉRÈSE,Paris,48.866374,2.335212,Paris,housenumber
11,rue,JEAN ROBERT,Paris,48.88952,2.35817,Paris,housenumber
22,rue,FAUBOURG POISSONNIÈRE,Paris,48.87254,2.348002,Paris,housenumber
19,rue,CHALIGNY,Paris,48.846718,2.383559,Paris,housenumber
77,rue,LILLE,Paris,48.8599,2.324857,Paris,housenumber
64,rue,BAGNOLET,Paris,48.857795,2.399838,Paris,housenumber
39,rue,ROMAINVILLE,Paris,48.877607,2.402001,Paris,housenumber
4,rue,PIERRE DUPONT,Paris,48.878845,2.364598,Paris,housenumber
3,place,MARCHÉ-Ste-CATHERINE,Paris,48.85544,2.362618,Paris,housenumber
19,rue,VIALA,Paris,48.850276,2.290438,Paris,housenumber
16,rue,ESPÉRANCE,Paris,48.826559,2.34778,Paris,housenumber
51,rue,GRENELLE,Paris,48.854501,2.325625,Paris,housenumber
49,rue,LEPIC,Paris,48.887258,2.333909,Paris,housenumber
14,rue,DEBELLEYME,Paris,48.860908,2.363593,Paris,housenumber
34,avenue,VILLIERS,Paris,48.882403,2.31214,Paris,housenumber
10,rue,SAINT-FLORENTIN,Paris,48.867649,2.324484,Paris,housenumber
7,rue,EUGÈNE DELACROIX,Paris,48.863032,2.278124,Paris,housenumber
8,rue,THOREL,Paris,48.869657,2.349076,Paris,housenumber
40,rue,BAC,Paris,48.856925,2.327175,Paris,housenumber
2,impasse,ONFROY,Paris,48.824349,2.355639,Paris,housenumber
68,rue,JEAN-JACQUES ROUSSEAU,Paris,48.864322,2.344216,Paris,housenumber
51,rue,ALOUETTES,Paris,48.879212,2.385649,Paris,housenumber
65,rue,FAUBOURG ST-HONORÉ,Paris,48.871343,2.315393,Paris,housenumber
7,rue,ROULE,Paris,48.860463,2.34353,Paris,housenumber
5,rue,POINTE D'IVRY,Paris,48.822941,2.36513,Paris,housenumber
13,rue,SABLIÈRE,Paris,48.831724,2.323689,Paris,housenumber
86,avenue,ITALIE,Paris,48.825848,2.357079,Paris,housenumber
90,avenue,ITALIE,Paris,48.825672,2.357134,Paris,housenumber
21,rue,ROUSSIN,Paris,48.845043,2.299396,Paris,housenumber
60,boulevard,COURCELLES,Paris,48.88042,2.308212,Paris,housenumber
8,rue,FEUTRIER,Paris,48.886227,2.346624,Paris,housenumber
62,rue,CHATEAU DES RENTIERS,Paris,48.825924,2.369433,Paris,housenumber
150,rue,RENNES,Paris,48.844488,2.324276,Paris,housenumber
101,rue,CHERCHE-MIDI,Paris,48.846493,2.320906,Paris,housenumber
10,rue,FAUBOURG SAINT-DENIS,Paris,48.870209,2.353021,Paris,housenumber
48,boulevard,VOLTAIRE,Paris,48.86324,2.370664,Paris,housenumber
92,avenue,SUFFREN,Paris,48.850677,2.301425,Paris,housenumber
2,rue,COUSTOU,Paris,48.883544,2.334406,Paris,housenumber
17,boulevard,POISSONNIÈRE,Paris,48.871008,2.344939,Paris,housenumber
204,rue,FAUBOURG SAINT-DENIS,Paris,48.882123,2.358733,Paris,housenumber
82,avenue,IVRY,Paris,48.82497,2.36266,Paris,housenumber
5,rue,SABLONS,Paris,48.866331,2.284002,Paris,housenumber
20,rue,CHORON,Paris,48.877729,2.340259,Paris,housenumber
5,rue,LIANCOURT,Paris,48.833524,2.328178,Paris,housenumber
49,rue,BONAPARTE,Paris,48.852864,2.333308,Paris,housenumber
34,rue,GALILÉE,Paris,48.869164,2.295081,Paris,housenumber
38,rue,MEUNIERS,Paris,48.834772,2.396626,Paris,housenumber
74,rue,SAINT-LAZARE,Paris,48.87612,2.330261,Paris,housenumber
18,rue,LEDION,Paris,48.827308,2.315898,Paris,housenumber
8,impasse,DECRÈS,Paris,48.833213,2.315074,Paris,housenumber
53,rue,ORDENER,Paris,48.891053,2.351789,Paris,housenumber
34,rue,MARAICHERS,Paris,48.850128,2.407596,Paris,housenumber
4,rue,COLMAR,Paris,48.887972,2.38022,Paris,housenumber
10,rue,MARONITES,Paris,48.867983,2.383438,Paris,housenumber
109,rue,SAINT-ANTOINE,Paris,48.854968,2.361111,Paris,housenumber
22,rue,PÉPINIÈRE,Paris,48.875147,2.321609,Paris,housenumber
30,rue,FÉLICIEN DAVID,Paris,48.848847,2.273536,Paris,housenumber
24,rue,TOUL,Paris,48.839289,2.402674,Paris,housenumber
15,rue,CAMPAGNE-PREMIÈRE,Paris,48.839769,2.33266,Paris,housenumber
33,rue,RICHELIEU,Paris,48.865288,2.33657,Paris,housenumber
5,rue,AUGUSTE-VACQUERIE,Paris,48.870812,2.296341,Paris,housenumber
7,rue,LEROUX,Paris,48.871147,2.287114,Paris,housenumber
