,candidate,date,pct_trend_adjusted,state,cycle,party,pct_estimate,hi,lo
0,Joseph R. Biden Jr.,2020-11-03,37.82732,Alabama,2020,,,,
1,Donald Trump,2020-11-03,57.36126,Alabama,2020,,,,
2,Joseph R. Biden Jr.,2020-11-02,37.82732,Alabama,2020,,,,
3,Donald Trump,2020-11-02,57.36126,Alabama,2020,,,,
4,Joseph R. Biden Jr.,2020-11-01,38.07011,Alabama,2020,,,,
5,Donald Trump,2020-11-01,57.47665,Alabama,2020,,,,
6,Joseph R. Biden Jr.,2020-10-31,38.24776,Alabama,2020,,,,
7,Donald Trump,2020-10-31,56.96877,Alabama,2020,,,,
8,Joseph R. Biden Jr.,2020-10-30,38.2715,Alabama,2020,,,,
9,Donald Trump,2020-10-30,56.9408,Alabama,2020,,,,
10,Joseph R. Biden Jr.,2020-10-29,38.36106,Alabama,2020,,,,
11,Donald Trump,2020-10-29,57.2055,Alabama,2020,,,,
12,Joseph R. Biden Jr.,2020-10-28,38.27239,Alabama,2020,,,,
13,Donald Trump,2020-10-28,56.75447,Alabama,2020,,,,
14,Joseph R. Biden Jr.,2020-10-27,38.49934,Alabama,2020,,,,
15,Donald Trump,2020-10-27,56.75352,Alabama,2020,,,,
16,Joseph R. Biden Jr.,2020-10-26,38.46781,Alabama,2020,,,,
17,Donald Trump,2020-10-26,56.68865,Alabama,2020,,,,
18,Joseph R. Biden Jr.,2020-10-25,38.42694,Alabama,2020,,,,
19,Donald Trump,2020-10-25,56.74107,Alabama,2020,,,,
20,Joseph R. Biden Jr.,2020-10-24,38.42048,Alabama,2020,,,,
21,Donald Trump,2020-10-24,56.58099,Alabama,2020,,,,
22,Joseph R. Biden Jr.,2020-10-23,38.50195,Alabama,2020,,,,
23,Donald Trump,2020-10-23,56.48976,Alabama,2020,,,,
24,Joseph R. Biden Jr.,2020-10-22,38.53137,Alabama,2020,,,,
25,Donald Trump,2020-10-22,56.33334,Alabama,2020,,,,
26,Joseph R. Biden Jr.,2020-10-21,38.52689,Alabama,2020,,,,
27,Donald Trump,2020-10-21,56.3206,Alabama,2020,,,,
28,Joseph R. Biden Jr.,2020-10-20,38.54428,Alabama,2020,,,,
29,Donald Trump,2020-10-20,56.29165,Alabama,2020,,,,
30,Joseph R. Biden Jr.,2020-10-19,38.62169,Alabama,2020,,,,
31,Donald Trump,2020-10-19,56.25998,Alabama,2020,,,,
32,Joseph R. Biden Jr.,2020-10-18,38.81382,Alabama,2020,,,,
33,Donald Trump,2020-10-18,56.51419,Alabama,2020,,,,
34,Joseph R. Biden Jr.,2020-10-17,38.79713,Alabama,2020,,,,
35,Donald Trump,2020-10-17,56.47707,Alabama,2020,,,,
36,Joseph R. Biden Jr.,2020-10-16,38.76854,Alabama,2020,,,,
37,Donald Trump,2020-10-16,56.44495,Alabama,2020,,,,
38,Joseph R. Biden Jr.,2020-10-15,38.78751,Alabama,2020,,,,
39,Donald Trump,2020-10-15,56.49833,Alabama,2020,,,,
40,Joseph R. Biden Jr.,2020-10-14,38.73291,Alabama,2020,,,,
41,Donald Trump,2020-10-14,56.4792,Alabama,2020,,,,
42,Joseph R. Biden Jr.,2020-10-13,38.82872,Alabama,2020,,,,
43,Donald Trump,2020-10-13,56.54644,Alabama,2020,,,,
44,Joseph R. Biden Jr.,2020-10-12,38.85302,Alabama,2020,,,,
45,Donald Trump,2020-10-12,56.66071,Alabama,2020,,,,
46,Joseph R. Biden Jr.,2020-10-11,38.81808,Alabama,2020,,,,
47,Donald Trump,2020-10-11,56.66233,Alabama,2020,,,,
48,Joseph R. Biden Jr.,2020-10-10,38.7147,Alabama,2020,,,,
49,Donald Trump,2020-10-10,56.68409,Alabama,2020,,,,
50,Joseph R. Biden Jr.,2020-10-09,38.72859,Alabama,2020,,,,
51,Donald Trump,2020-10-09,56.68314,Alabama,2020,,,,
52,Joseph R. Biden Jr.,2020-10-08,38.7104,Alabama,2020,,,,
53,Donald Trump,2020-10-08,56.68,Alabama,2020,,,,
54,Joseph R. Biden Jr.,2020-10-07,38.60518,Alabama,2020,,,,
55,Donald Trump,2020-10-07,56.74497,Alabama,2020,,,,
56,Joseph R. Biden Jr.,2020-10-06,38.53888,Alabama,2020,,,,
57,Donald Trump,2020-10-06,56.84056,Alabama,2020,,,,
58,Joseph R. Biden Jr.,2020-10-05,38.38294,Alabama,2020,,,,
59,Donald Trump,2020-10-05,56.89531,Alabama,2020,,,,
60,Joseph R. Biden Jr.,2020-10-04,38.79457,Alabama,2020,,,,
61,Donald Trump,2020-10-04,56.16731,Alabama,2020,,,,
62,Joseph R. Biden Jr.,2020-10-03,38.74995,Alabama,2020,,,,
63,Donald Trump,2020-10-03,56.24868,Alabama,2020,,,,
64,Joseph R. Biden Jr.,2020-10-02,40.19847,Alabama,2020,,,,
65,Donald Trump,2020-10-02,55.02305,Alabama,2020,,,,
66,Joseph R. Biden Jr.,2020-10-01,40.25048,Alabama,2020,,,,
67,Donald Trump,2020-10-01,54.86464,Alabama,2020,,,,
68,Joseph R. Biden Jr.,2020-09-30,40.13222,Alabama,2020,,,,
69,Donald Trump,2020-09-30,54.94107,Alabama,2020,,,,
70,Joseph R. Biden Jr.,2020-09-29,40.06752,Alabama,2020,,,,
71,Donald Trump,2020-09-29,55.04582,Alabama,2020,,,,
72,Joseph R. Biden Jr.,2020-09-28,40.00489,Alabama,2020,,,,
73,Donald Trump,2020-09-28,55.03178,Alabama,2020,,,,
74,Joseph R. Biden Jr.,2020-09-27,40.03386,Alabama,2020,,,,
75,Donald Trump,2020-09-27,54.98045,Alabama,2020,,,,
76,Joseph R. Biden Jr.,2020-09-26,40.01369,Alabama,2020,,,,
77,Donald Trump,2020-09-26,55.03101,Alabama,2020,,,,
78,Joseph R. Biden Jr.,2020-09-25,39.99683,Alabama,2020,,,,
79,Donald Trump,2020-09-25,55.02092,Alabama,2020,,,,
80,Joseph R. Biden Jr.,2020-09-24,39.98643,Alabama,2020,,,,
81,Donald Trump,2020-09-24,55.03139,Alabama,2020,,,,
82,Joseph R. Biden Jr.,2020-09-23,40.03336,Alabama,2020,,,,
83,Donald Trump,2020-09-23,54.97515,Alabama,2020,,,,
84,Joseph R. Biden Jr.,2020-09-22,40.05239,Alabama,2020,,,,
85,Donald Trump,2020-09-22,55.09833,Alabama,2020,,,,
86,Joseph R. Biden Jr.,2020-09-21,40.04848,Alabama,2020,,,,
87,Donald Trump,2020-09-21,55.08271,Alabama,2020,,,,
88,Joseph R. Biden Jr.,2020-09-20,38.56274,Alabama,2020,,,,
89,Donald Trump,2020-09-20,57.50371,Alabama,2020,,,,
90,Joseph R. Biden Jr.,2020-09-19,38.47115,Alabama,2020,,,,
91,Donald Trump,2020-09-19,57.39062,Alabama,2020,,,,
92,Joseph R. Biden Jr.,2020-09-18,38.47806,Alabama,2020,,,,
93,Donald Trump,2020-09-18,57.38698,Alabama,2020,,,,
94,Joseph R. Biden Jr.,2020-09-17,38.48737,Alabama,2020,,,,
95,Donald Trump,2020-09-17,57.50982,Alabama,2020,,,,
96,Joseph R. Biden Jr.,2020-09-16,38.56852,Alabama,2020,,,,
97,Donald Trump,2020-09-16,57.51117,Alabama,2020,,,,
98,Joseph R. Biden Jr.,2020-09-15,38.62606,Alabama,2020,,,,
99,Donald Trump,2020-09-15,57.40501,Alabama,2020,,,,
100,Joseph R. Biden Jr.,2020-09-14,38.63968,Alabama,2020,,,,
101,Donald Trump,2020-09-14,57.43105,Alabama,2020,,,,
102,Joseph R. Biden Jr.,2020-09-13,38.71006,Alabama,2020,,,,
103,Donald Trump,2020-09-13,57.40562,Alabama,2020,,,,
104,Joseph R. Biden Jr.,2020-09-12,38.68108,Alabama,2020,,,,
105,Donald Trump,2020-09-12,57.29106,Alabama,2020,,,,
106,Joseph R. Biden Jr.,2020-09-11,38.70844,Alabama,2020,,,,
107,Donald Trump,2020-09-11,57.30731,Alabama,2020,,,,
108,Joseph R. Biden Jr.,2020-09-10,38.68338,Alabama,2020,,,,
109,Donald Trump,2020-09-10,57.26731,Alabama,2020,,,,
110,Joseph R. Biden Jr.,2020-09-09,38.64752,Alabama,2020,,,,
111,Donald Trump,2020-09-09,57.14934,Alabama,2020,,,,
112,Joseph R. Biden Jr.,2020-09-08,38.70174,Alabama,2020,,,,
113,Donald Trump,2020-09-08,57.27418,Alabama,2020,,,,
114,Joseph R. Biden Jr.,2020-09-07,38.73855,Alabama,2020,,,,
115,Donald Trump,2020-09-07,57.33044,Alabama,2020,,,,
116,Joseph R. Biden Jr.,2020-09-06,38.73401,Alabama,2020,,,,
117,Donald Trump,2020-09-06,57.26789,Alabama,2020,,,,
118,Joseph R. Biden Jr.,2020-09-05,38.7212,Alabama,2020,,,,
119,Donald Trump,2020-09-05,57.25008,Alabama,2020,,,,
120,Joseph R. Biden Jr.,2020-09-04,38.71917,Alabama,2020,,,,
121,Donald Trump,2020-09-04,57.22912,Alabama,2020,,,,
122,Joseph R. Biden Jr.,2020-09-03,38.63369,Alabama,2020,,,,
123,Donald Trump,2020-09-03,57.21258,Alabama,2020,,,,
124,Joseph R. Biden Jr.,2020-09-02,38.646,Alabama,2020,,,,
125,Donald Trump,2020-09-02,57.18358,Alabama,2020,,,,
126,Joseph R. Biden Jr.,2020-09-01,38.59167,Alabama,2020,,,,
127,Donald Trump,2020-09-01,57.31357,Alabama,2020,,,,
128,Joseph R. Biden Jr.,2020-08-31,38.64412,Alabama,2020,,,,
129,Donald Trump,2020-08-31,57.21243,Alabama,2020,,,,
130,Joseph R. Biden Jr.,2020-08-30,38.55955,Alabama,2020,,,,
131,Donald Trump,2020-08-30,56.69307,Alabama,2020,,,,
